c Fleet composition for link of PHEMLight with NITRA ï¿½,,
c,,
c fleet segment,vehicle segment,share
BUS,HDV_CO_D_EU0,0
BUS,HDV_CB_D_EU0,0
BUS,HDV_CB_D_EU1,0
BUS,HDV_CO_D_EU1,0
BUS,HDV_CB_D_EU2,0.042553191
BUS,HDV_CO_D_EU2,0.013539652
BUS,HDV_CB_D_EU4,0.232108317
BUS,HDV_CO_D_EU4,0.160541586
BUS,HDV_CB_D_EU5,0.017408124
BUS,HDV_CO_D_EU5,0.117988395
BUS,HDV_CB_D_EU3,0.20696325
BUS,HDV_CO_D_EU3,0.137330754
BUS,HDV_CB_D_EU6,0.00967118
BUS,HDV_CO_D_EU6,0.030947776
BUS,HDV_CB_CNG_EU6,0.030947776
HDV,HDV_TT_D_EU0,0.000487
HDV,HDV_RT_I_D_EU0,0.007785888
HDV,HDV_RT_II_D_EU0,0.000487
HDV,HDV_RT_I_D_EU1,0.009975669
HDV,HDV_TT_D_EU1,0.001703163
HDV,HDV_RT_II_D_EU1,0.001946472
HDV,HDV_TT_D_EU2,0.022384428
HDV,HDV_RT_I_D_EU2,0.058880779
HDV,HDV_RT_II_D_EU2,0.004379562
HDV,HDV_TT_D_EU3,0.055717762
HDV,HDV_RT_I_D_EU3,0.218734793
HDV,HDV_RT_II_D_EU3,0.013625304
HDV,HDV_TT_D_EU4,0.029927007
HDV,HDV_RT_I_D_EU4,0.346958637
HDV,HDV_RT_II_D_EU4,0.006569343
HDV,HDV_TT_D_EU5,0.024574209
HDV,HDV_RT_I_D_EU5,0.147445255
HDV,HDV_RT_II_D_EU5,0.004136253
HDV,HDV_TT_D_EU6,0.018248175
HDV,HDV_RT_I_D_EU6,0.023600973
HDV,HDV_RT_II_D_EU6,0.00243309
PC,LCV_II_D_EU0,0.000615874
PC,LCV_III_D_EU0,0.000615874
PC,LCV_II_D_EU1,0.001000796
PC,LCV_III_D_EU1,0.001000796
PC,LCV_II_D_EU2,0.007159537
PC,LCV_III_D_EU2,0.007159537
PC,LCV_II_D_EU3,0.029343837
PC,LCV_III_D_EU3,0.029343837
PC,LCV_II_D_EU4,0.043611589
PC,LCV_III_D_EU4,0.043611589
PC,LCV_II_D_EU5,0.061330801
PC,LCV_III_D_EU5,0.061330801
PC,LCV_II_D_EU6,0.008750545
PC,LCV_II_D_EU6c,0
PC,LCV_III_D_EU6,0.008750545
PC,LCV_III_D_EU6c,0
PC,LCV_I_D_EU0,0.000615874
PC,PC_D_EU0,0.000153969
PC,LCV_I_D_EU1,0.001000796
PC,PC_D_EU1,0.001591008
PC,LCV_I_D_EU2,0.007159537
PC,PC_D_EU2,0.019784957
PC,LCV_I_D_EU3,0.029343837
PC,PC_D_EU3,0.076535195
PC,LCV_I_D_EU4,0.043611589
PC,PC_D_EU4,0.116092278
PC,LCV_I_D_EU5,0.061330801
PC,PC_D_EU5,0.130116246
PC,LCV_I_D_EU6,0.008750545
PC,LCV_I_D_EU6c,0
PC,PC_D_EU6,0.076714825
PC,PC_D_EU6d,0.013600554
PC,HDV_CB_BEV,0
PC,LCV_I_BEV,0
PC,LCV_II_BEV,0
PC,LCV_III_BEV,0
PC,PC_BEV,0
PC,LCV_II_G_EU0,0.000487567
PC,LCV_III_G_EU0,0.000487567
PC,LCV_II_G_EU1,6.42E-05
PC,LCV_III_G_EU1,6.42E-05
PC,LCV_II_G_EU2,0.000449075
PC,LCV_III_G_EU2,0.000449075
PC,LCV_II_G_EU3,0.001000796
PC,LCV_III_G_EU3,0.001000796
PC,LCV_II_G_EU4,0.001103441
PC,LCV_III_G_EU4,0.001103441
PC,LCV_II_G_EU5,0.00035926
PC,LCV_III_G_EU5,0.00035926
PC,LCV_II_G_EU6,0.000141138
PC,LCV_II_G_EU6c,0
PC,LCV_III_G_EU6,0.000141138
PC,LCV_III_G_EU6c,0
PC,PC_G_EU0,0.001193256
PC,PC_G_EU1,0.003400139
PC,LCV_I_G_EU1,6.42E-05
PC,LCV_I_G_EU2,0.000449075
PC,PC_G_EU2,0.014575688
PC,LCV_I_G_EU3,0.001000796
PC,PC_G_EU3,0.030485771
PC,LCV_I_G_EU4,0.001103441
PC,PC_G_EU4,0.025494624
PC,LCV_I_G_EU5,0.00035926
PC,PC_G_EU5,0.010675152
PC,LCV_I_G_EU6,0.000141138
PC,LCV_I_G_EU6c,0
PC,PC_G_EU6,0.00774975
PC,PC_G_EU6c,0.0017963
PC,LCV_I_G_EU0,0
BUS,HDV_CB_D_HEV_EU6,0
PC,LCV_I_D_HEV_EU6,0
PC,LCV_I_D_HEV_EU6c,0
PC,LCV_I_G_HEV_EU6,0
PC,LCV_I_G_HEV_EU6c,0
PC,LCV_II_D_HEV_EU6,0
PC,LCV_II_D_HEV_EU6c,0
PC,LCV_II_G_HEV_EU6,0
PC,LCV_II_G_HEV_EU6c,0
PC,LCV_III_D_HEV_EU6,0
PC,LCV_III_D_HEV_EU6c,0
PC,LCV_III_G_HEV_EU6,0
PC,LCV_III_G_HEV_EU6c,0
PC,PC_D_HEV_EU6,0.000975134
PC,PC_D_HEV_EU6d,0
PC,PC_G_HEV_EU6,0
PC,PC_G_HEV_EU6c,0.000256614
PC,PC_CNG_EU5,1.28E-05
PC,LCV_I_CNG_EU6,0
PC,LCV_II_CNG_EU6,0
PC,LCV_II_CNG_EU6c,0
PC,LCV_III_CNG_EU6,0
PC,LCV_III_CNG_EU6c,0
PC,PC_CNG_EU6,0.003028048
PC,PC_CNG_EU6c,0
