"C Fleet segment","Vehicle segment","Share"
"BUS","HDV_CB_D_EU0","0.024711696869852"
"BUS","HDV_CB_D_EU1","0.00164744645799"
"BUS","HDV_CB_D_EU2","0.140856672158155"
"BUS","HDV_CB_D_EU3","0.13838550247117"
"BUS","HDV_CB_D_EU4","0.011532125205931"
"BUS","HDV_CB_D_EU5","0.290774299835255"
"BUS","HDV_CB_D_EU6","0.099670510708402"
"BUS","HDV_CO_D_EU0","0.049423393739704"
"BUS","HDV_CO_D_EU1","0.013179571663921"
"BUS","HDV_CO_D_EU2","0.050247116968699"
"BUS","HDV_CO_D_EU3","0.056013179571664"
"BUS","HDV_CO_D_EU4","0.025535420098847"
"BUS","HDV_CO_D_EU5","0.051070840197694"
"BUS","HDV_CO_D_EU6","0.044481054365733"
"HDV","HDV_RT_II_G_EU0","0.004046398705152"
"HDV","HDV_RT_II_G_EU1","0.000269759913677"
"HDV","HDV_RT_II_G_EU2","0.000269759913677"
"HDV","HDV_RT_II_G_EU3","0.000134879956838"
"HDV","HDV_RT_II_G_EU4","0.000674399784192"
"HDV","HDV_RT_II_G_EU5",0
"HDV","HDV_RT_II_G_EU6",0
"HDV","HDV_RT_II_G_LPG_EU0","0.000674399784192"
"HDV","HDV_RT_II_G_LPG_EU1","0.000134879956838"
"HDV","HDV_RT_II_G_LPG_EU2","0.000134879956838"
"HDV","HDV_RT_II_G_LPG_EU3",0
"HDV","HDV_RT_II_G_LPG_EU4","0.000134879956838"
"HDV","HDV_RT_II_G_LPG_EU5",0
"HDV","HDV_RT_II_G_LPG_EU6",0
"HDV","HDV_RT_II_G_CNG_EU0","0.000674399784192"
"HDV","HDV_RT_II_G_CNG_EU1",0
"HDV","HDV_RT_II_G_CNG_EU2",0
"HDV","HDV_RT_II_G_CNG_EU3","0.000269759913677"
"HDV","HDV_RT_II_G_CNG_EU4",0
"HDV","HDV_RT_II_G_CNG_EU5","0.002292959266253"
"HDV","HDV_RT_II_G_CNG_EU6","0.001753439438899"
"HDV","HDV_RT_II_D_EU0","0.267466954410575"
"HDV","HDV_RT_II_D_EU1","0.071891016994875"
"HDV","HDV_RT_II_D_EU2","0.160372268680874"
"HDV","HDV_RT_II_D_EU3","0.196654977070407"
"HDV","HDV_RT_II_D_EU4","0.044510385756677"
"HDV","HDV_RT_II_D_EU5","0.139600755327758"
"HDV","HDV_RT_II_D_EU6","0.106015646074993"
"MC_4S","MC_4S_G_EU0","0.368322637586202"
"MC_4S","MC_4S_G_EU1","0.151804813834164"
"MC_4S","MC_4S_G_EU2","0.126673547846639"
"MC_4S","MC_4S_G_EU3","0.272629358703945"
"MC_4S","MC_4S_G_EU4","0.077936842735119"
"PC","PC_G_EU0","0.048079519782166"
"PC","PC_G_EU1","0.011744700823023"
"PC","PC_G_EU2","0.041555306813081"
"PC","PC_G_EU3","0.042175507475001"
"PC","PC_G_EU4","0.096248437857942"
"PC","PC_G_EU5","0.046751582629167"
"PC","PC_G_EU6","0.080233106050588"
"PC","PC_G_LPG_EU0","0.004743696954684"
"PC","PC_G_LPG_EU1","0.001149140565779"
"PC","PC_G_LPG_EU2","0.003087966058448"
"PC","PC_G_LPG_EU3","0.003210888712162"
"PC","PC_G_LPG_EU4","0.031961752430051"
"PC","PC_G_LPG_EU5","0.020734816724186"
"PC","PC_G_LPG_EU6","0.028076651586913"
"PC","PC_G_CNG_EU0","0.001424785304411"
"PC","PC_G_CNG_EU1","0.000398567392345"
"PC","PC_G_CNG_EU2","0.00151045866912"
"PC","PC_G_CNG_EU3","0.002780659424163"
"PC","PC_G_CNG_EU4","0.018490547061683"
"PC","PC_G_CNG_EU5","0.012303440158086"
"PC","PC_G_CNG_EU6","0.009753726325749"
"PC","PC_D_EU0","0.009682952676641"
"PC","PC_D_EU1","0.002437965965325"
"PC","PC_D_EU2","0.013780374467102"
"PC","PC_D_EU3","0.044566911829071"
"PC","PC_D_EU4","0.081940985951431"
"PC","PC_D_EU5","0.101427951493976"
"PC","PC_D_EU6","0.116404028138113"
"PC","PC_BEV","0.000471203505903"
"PC","PC_G_HEV_EU0",0
"PC","PC_G_HEV_EU1",0
"PC","PC_G_HEV_EU2",0
"PC","PC_G_HEV_EU3",0
"PC","PC_G_HEV_EU4","0.000221633269575"
"PC","PC_G_HEV_EU5","0.001394985873207"
"PC","PC_G_HEV_EU6","0.009461319407066"
"PC","PC_D_HEV_EU0",0
"PC","PC_D_HEV_EU1",0
"PC","PC_D_HEV_EU2",0
"PC","PC_D_HEV_EU3",0
"PC","PC_D_HEV_EU4",0
"PC","PC_D_HEV_EU5","6.7048720207553E-05"
"PC","PC_D_HEV_EU6","0.000633237913071"
"PC","LCV_G_EU0","0.001221776679338"
"PC","LCV_G_EU1","0.000322206349886"
"PC","LCV_G_EU2","0.000512177723808"
"PC","LCV_G_EU3","0.000569914121764"
"PC","LCV_G_EU4","0.000553151941712"
"PC","LCV_G_EU5","0.000219770805125"
"PC","LCV_G_EU6","0.000331518672137"
"PC","LCV_G_LPG_EU0","0.000229083127376"
"PC","LCV_G_LPG_EU1","8.56733647096511E-05"
"PC","LCV_G_LPG_EU2","5.7736397956504E-05"
"PC","LCV_G_LPG_EU3","0.000111747867013"
"PC","LCV_G_LPG_EU4","0.00053266483276"
"PC","LCV_G_LPG_EU5","0.000191833838372"
"PC","LCV_G_LPG_EU6","0.000407879714596"
"PC","LCV_G_CNG_EU0","0.000121060189264"
"PC","LCV_G_CNG_EU1","1.30372511514686E-05"
"PC","LCV_G_CNG_EU2","4.46991468050354E-05"
"PC","LCV_G_CNG_EU3","0.00026260748748"
"PC","LCV_G_CNG_EU4","0.001484384166817"
"PC","LCV_G_CNG_EU5","0.001184527390333"
"PC","LCV_G_CNG_EU6","0.000955444262958"
"PC","LCV_D_EU0","0.009189399597335"
"PC","LCV_D_EU1","0.006084671358835"
"PC","LCV_D_EU2","0.01340415664816"
"PC","LCV_D_EU3","0.020312037293988"
"PC","LCV_D_EU4","0.019781234925678"
"PC","LCV_D_EU5","0.016099142707614"
"PC","LCV_D_EU6","0.016253727256981"
"PC","LCV_BEV","0.000139684833766"
"PC","LCV_G_HEV_EU0",0
"PC","LCV_G_HEV_EU1",0
"PC","LCV_G_HEV_EU2",0
"PC","LCV_G_HEV_EU3",0
"PC","LCV_G_HEV_EU4",0
"PC","LCV_G_HEV_EU5",0
"PC","LCV_G_HEV_EU6","4.09742179046157e-05"
"PC","LCV_D_HEV_EU0",0
"PC","LCV_D_HEV_EU1",0
"PC","LCV_D_HEV_EU2",0
"PC","LCV_D_HEV_EU3",0
"PC","LCV_D_HEV_EU4",0
"PC","LCV_D_HEV_EU5",0
"PC","LCV_D_HEV_EU6","2.23495734025177e-05"
